"team1_name","team1_score","team2_name","team2_score","location","nOT","game_length"
"Dallas Mavericks",118,"Indiana Pacers",97,"Dallas",0,48
"Toronto Raptors",122,"Milwaukee Bucks",117,"Milwaukee",1,53
"Minnesota Timberwolves",96,"Los Angeles Lakers",80,"Minnesota",0,48
"New York Knicks",101,"New Jersey Nets",99,"New York",0,48
"Portland Trail Blazers",102,"New Orleans Hornets",93,"Portland",0,48
"Sacramento Kings",95,"Phoenix Suns",86,"Sacramento",0,48
"Miami Heat",91,"Boston Celtics",81,"Boston",0,48
"Chicago Bulls",96,"Toronto Raptors",83,"Chicago",0,48
"Detroit Pistons",111,"Cleveland Cavaliers",106,"Cleveland",1,53
"Dallas Mavericks",80,"Denver Nuggets",75,"Denver",0,48
"Golden State Warriors",111,"New Orleans Hornets",106,"Golden State",0,48
"Houston Rockets",95,"Indiana Pacers",83,"Houston",0,48
"Portland Trail Blazers",97,"Los Angeles Clippers",93,"Los Angeles",0,48
"Philadelphia 76ers",99,"Minnesota Timberwolves",94,"Philadelphia",0,48
"San Antonio Spurs",91,"Seattle Supersonics",88,"Seattle",0,48
"Orlando Magic",97,"Utah Jazz",90,"Utah",0,48
"Washington Wizards",118,"Memphis Grizzlies",100,"Washington",0,48
"New Jersey Nets",98,"Los Angeles Lakers",71,"New Jersey",0,48
"San Antonio Spurs",83,"Sacramento Kings",81,"Sacramento",0,48
"Boston Celtics",108,"Minnesota Timberwolves",99,"Boston",0,48
"Utah Jazz",93,"Dallas Mavericks",81,"Dallas",0,48
"Orlando Magic",89,"Denver Nuggets",80,"Denver",0,48
"Detroit Pistons",109,"Cleveland Cavaliers",107,"Detroit",1,53
"Portland Trail Blazers",113,"Golden State Warriors",111,"Golden State",0,48
"Houston Rockets",101,"Atlanta Hawks",82,"Houston",0,48
"Indiana Pacers",101,"Chicago Bulls",86,"Indiana",0,48
"Phoenix Suns",87,"Los Angeles Clippers",76,"Los Angeles",0,48
"Memphis Grizzlies",95,"Milwaukee Bucks",84,"Memphis",0,48
"Philadelphia 76ers",107,"Los Angeles Lakers",104,"Philadelphia",1,53
"New Orleans Hornets",88,"Seattle Supersonics",86,"Seattle",1,53
"Miami Heat",97,"Toronto Raptors",77,"Toronto",0,48
"Atlanta Hawks",79,"Philadelphia 76ers",77,"Atlanta",0,48
"Chicago Bulls",110,"Indiana Pacers",103,"Chicago",0,48
